location_id,Population
2,1785
8,1785
93,1785
96,1785
207,1785
253,1785
3,28510
4,72258
232,72258
5,24996
6,15238
7,89122
9,20201
24,54208
166,54208
10,35729
11,28572
12,1662
43,1662
103,1662
103,1662
120,1662
128,1662
194,1662
13,20088
87,20088
88,20088
209,20088
261,20088
18,55329
25,30847
65,30847
66,30847
14,80539
15,22731
22,84640
23,39309
99,39309
16,44371
17,59227
19,24464
20,25967
21,58566
26,101055
27,26711
30,26711
201,26711
28,38675
33,22548
29,35244
31,540
59,540
184,540
240,540
32,34309
34,93
111,93
154,93
190,93
35,59099
36,56093
37,64617
38,20944
39,85058
40,38327
52,38327
54,38327
195,38327
41,39075
45,52375
148,52375
42,70016
44,18332
47,28149
48,40595
50,40595
49,33292
51,40676
81,40676
53,21407
55,34267
56,52082
56,52082
58,27140
183,27140
60,18072
61,103462
62,42370
63,48961
64,24356
72,57934
67,39332
68,55839
90,55839
234,55839
246,55839
73,26516
69,58961
70,21183
71,56033
79,41746
80,31878
74,57148
85,31392
86,48344
75,56899
76,83275
77,27624
78,39280
82,87972
83,24338
84,26376
89,110875
125,36757
144,36757
211,36757
231,36757
91,66726
92,69362
94,26880
95,85046
97,28335
98,17373
100,25807
161,25807
163,25807
164,25807
186,25807
230,25807
101,22426
102,31071
106,67263
181,67263
107,26184
108,29257
109,41680
110,7
112,37821
113,68483
114,68483
158,68483
249,68483
115,19834
221,19834
116,50555
117,31645
118,30762
119,33844
149,39076
150,64596
210,64596
121,31734
122,20747
123,45679
124,28121
126,25142
127,49087
153,49087
129,113327
134,23888
151,136954
239,136954
238,136954
130,51849
139,26375
131,26061
132,0
138,0
133,36937
140,76631
141,76631
202,76631
135,36052
136,33286
137,48419
170,48419
142,55239
143,55239
152,24772
145,61947
226,61947
146,21104
193,21104
147,23082
155,42940
156,27957
159,33195
157,28916
160,37629
162,49737
229,49737
233,49737
165,55440
167,29797
178,20556
168,49030
169,52649
171,53009
172,20242
173,47156
174,40817
175,27873
179,28847
176,22266
177,30067
180,21052
182,29353
185,30006
189,19655
187,18042
188,70300
191,57704
192,19309
196,29404
203,25502
197,62985
198,69455
199,12780
212,35137
213,50753
200,28013
204,18894
205,50046
206,16784
245,16784
208,43712
214,23017
215,35181
216,78906
217,32269
218,25441
219,18950
225,61827
220,29872
224,19101
222,14621
223,53604
227,66150
228,52312
235,54335
236,63664
237,63664
241,50607
258,54149
242,27135
263,76768
262,76768
243,73457
244,93671
247,39557
248,34542
257,20779
250,25768
251,23790
252,31356
254,57420
255,40130
256,40130
259,43583
260,43846
